ALA1	0.71	-	-	-	-	-	-	-0.36	-13.2	3.11	-	-	-	-		
CYS2	0.11	-0.96	-27.95	3	-1.51	28.26	16	-1.48	-22	2.48	-	-	-27	23		
ASP2	2.5	-0.18	-22.5	3	-0.15	20	50	1.43	-15.28	5.36	-	-	-27	18	-22	8
GLU3	2.5	-0.24	-30	34.82	-	-	-	1.31	-15.53	5.4	-	-	-25	-	-19	
PHE1	0.39	-	-	-	-	-	-	-0.71	-18.65	8	-	-	-	-		
GLY4	0.82	-	-	-	-0.25	21.16	29.21	-0.19	-8.98	8	-	-	-	10		
HIS4	1.22	-	-	-	-0.29	22.99	3	0.57	-7	3.02	-	-	-	13	-	11
ILE1	0.43	-	-	-	-	-	-	-0.71	-16.24	6.72	-	-	-	-		
LYS2	1.9	-0.6	-21.08	50	0	21.39	49.76	1.82	-12.07	2.96	-	-	-16	24	-11	
LEU1	0.39	-	-	-	-	-	-	-0.76	-17.45	5.27	-	-	-	-		
MET3	0.53	-0.34	-26.48	3	-	-	-	-0.49	-18.26	6.05	-	-	-22	-		
ASN4	1.45	-	-	-	-0.25	22.28	21.45	0.7	-13.33	8	-	-	-	18	-	15
PRO5	2.5	-	-	-	-	-	-	0.89	-20.59	3.83	15.52	3.04				
GLN1	1.72	-	-	-	-	-	-	0.95	-11.94	6.07	-	-	-	-		
ARG3	1.18	-0.6	-20	50	-	-	-	1.29	-11.15	5.62	-	-	-15	-	-10	
SER1	1.25	-	-	-	-	-	-	0.23	-15.69	8	-	-	-	-		
THR1	1.04	-	-	-	-	-	-	0.04	-16.23	8	-	-	-	-		
VAL1	0.6	-	-	-	-	-	-	-0.5	-14.32	6.09	-	-	-	-		
TRP6	0.48	-0.74	-12.62	23.42	-0.76	13	36.05	-	-	-	-	-				
TYR6	0.57	-0.56	-15	24.81	-0.58	15	55.98	-	-	-	-	-				
