ALA1	0.73	-	-	-	-	-	-	-0.34	-12.69	3.54	-	-	-	-		
CYS2	0.12	-0.91	-28.05	3	-1.4	27.17	12.17	-1.46	-22	2.47	-	-	-27	23		
ASP2	2.5	-0.47	-22.53	11.61	-0.22	21.81	30	1.5	-16.3	2.69	-	-	-27	18	-22	8
GLU3	2.5	-0.19	-26	21.07	-	-	-	1.29	-15.35	4.92	-	-	-25	-	-19	
PHE1	0.39	-	-	-	-	-	-	-0.7	-19.34	8	-	-	-	-		
GLY4	0.82	-	-	-	-0.25	21.48	29.51	-0.2	-9.15	8	-	-	-	10		
HIS4	1.2	-	-	-	-0.35	22.63	3	0.53	-7	2.61	-	-	-	13	-	11
ILE1	0.43	-	-	-	-	-	-	-0.72	-16.44	6.19	-	-	-	-		
LYS2	1.05	-0.69	-24.23	50	-0.15	26.29	3	1.16	-10.84	7.06	-	-	-16	24	-11	
LEU1	0.35	-	-	-	-	-	-	-0.82	-18.85	4.26	-	-	-	-		
MET3	0.67	-0.27	-28.33	9.42	-	-	-	-0.35	-15.67	8	-	-	-22	-		
ASN4	1.47	-	-	-	-0.2	20.61	50	0.7	-13.8	8	-	-	-	18	-	15
PRO5	2.5	-	-	-	-	-	-	0.88	-20.65	3.91	15.71	3.08				
GLN1	1.82	-	-	-	-	-	-	1	-11.89	4.85	-	-	-	-		
ARG3	1.15	-0.6	-20	50	-	-	-	1.4	-9.63	4.39	-	-	-15	-	-10	
SER1	1.29	-	-	-	-	-	-	0.25	-16.19	8	-	-	-	-		
THR1	1.04	-	-	-	-	-	-	0.04	-15.33	8	-	-	-	-		
VAL1	0.61	-	-	-	-	-	-	-0.49	-14.21	5.76	-	-	-	-		
TRP6	0.4	-0.82	-12.1	34.05	-0.8	13.13	67.48	-	-	-	-	-				
TYR6	0.61	-0.5	-14.47	24.63	-0.52	15	54	-	-	-	-	-				
